"Model","battery_mah","ram","storage","lunch_year","used_month","battery_health","price"
"iPhone 13 Pro Max","4352","6","128","2021","50","92","76976"
"iPhone 7","1960","2","32","2016","110","99","4534"
"iPhone 14 Pro","3200","6","128","2022","38","74","57370"
"iPhone SE (1st gen)","1624","2","16","2016","116","81","2200"
"iPhone 5s","1560","1","16","2013","146","77","3189"
"iPhone 11 Pro Max","3969","4","64","2019","74","75","40914"
"iPhone 6","1810","1","16","2014","134","97","4013"
"iPhone 15","3349","6","128","2023","26","51","39881"
"iPhone 14 Pro Max","4323","6","128","2022","38","79","71266"
"iPhone 14 Pro Max","4323","6","128","2022","38","92","90193"
"iPhone 14 Pro","3200","6","128","2022","38","89","84847"
"iPhone 6s","1715","2","16","2015","122","90","3913"
"iPhone 13 Pro","3095","6","128","2021","50","67","40822"
"iPhone 11 Pro","3046","4","64","2019","74","83","24832"
"iPhone 12 mini","2227","4","64","2020","60","79","26556"
"iPhone 15 Pro Max","4422","8","256","2023","26","79","86186"
"iPhone 14 Pro Max","4323","6","128","2022","38","76","64850"
"iPhone 5c","1507","1","8","2013","146","64","2453"
"iPhone 16 Pro","3582","8","128","2024","14","73","86253"
"iPhone 5s","1560","1","16","2013","146","75","3308"
"iPhone 5c","1507","1","8","2013","146","93","3228"
"iPhone 6s Plus","2750","2","16","2015","122","78","4044"
"iPhone 7 Plus","2900","3","32","2016","110","66","3480"
"iPhone 12","2815","4","64","2020","61","60","26808"
"iPhone 7 Plus","2900","3","32","2016","110","71","3853"
"iPhone SE (1st gen)","1624","2","16","2016","116","53","1343"
"iPhone 15 Plus","4395","6","128","2023","26","88","76883"
"iPhone 14 Pro","3200","6","128","2022","38","78","70564"
"iPhone 5c","1507","1","8","2013","146","64","2416"
"iPhone 16","3561","8","128","2024","14","83","73933"
"iPhone 15 Plus","4395","6","128","2023","26","61","63304"
"iPhone XS Max","3174","4","64","2018","86","77","5718"
"iPhone 5","1440","1","16","2012","158","91","4350"
"iPhone 8","1821","2","64","2017","98","50","2556"
"iPhone 13","3227","4","128","2021","50","100","65850"
"iPhone 11 Pro Max","3969","4","64","2019","74","53","19202"
"iPhone 13 Pro","3095","6","128","2021","50","85","60343"
"iPhone 14","3279","6","128","2022","38","61","41059"
"iPhone 12 Pro","2815","6","128","2020","61","82","39631"
"iPhone 12","2815","4","64","2020","61","68","25030"
"iPhone 7","1960","2","32","2016","110","83","3696"
"iPhone 8 Plus","2691","3","64","2017","98","71","4221"
"iPhone 15 Pro Max","4422","8","256","2023","26","55","67903"
"iPhone 14 Plus","4325","6","128","2022","37","84","63290"
"iPhone 12 Pro Max","3687","6","128","2020","60","70","39489"
"iPhone SE (1st gen)","1624","2","16","2016","116","74","2007"
"iPhone 5c","1507","1","8","2013","146","88","3216"
"iPhone 12 mini","2227","4","64","2020","60","91","27525"
"iPhone 5s","1560","1","16","2013","146","64","2843"
"iPhone X","2716","3","64","2017","96","100","21984"
"iPhone 15 Plus","4395","6","128","2023","26","75","68139"
"iPhone 16 Pro Max","4685","8","256","2024","14","79","100380"
"iPhone 11","3110","4","64","2019","74","97","16640"
"iPhone 11 Pro","3046","4","64","2019","74","60","11917"
"iPhone 15 Pro Max","4422","8","256","2023","26","81","88254"
"iPhone 14","3279","6","128","2022","38","82","68395"
"iPhone 14","3279","6","128","2022","38","93","67153"
"iPhone 15","3349","6","128","2023","26","69","51967"
"iPhone 11 Pro","3046","4","64","2019","74","96","39706"
"iPhone 12 Pro","2815","6","128","2020","61","55","37828"
"iPhone 14","3279","6","128","2022","38","98","72001"
"iPhone 6 Plus","2915","1","16","2014","134","82","4200"
"iPhone 16 Pro","3582","8","128","2024","14","90","104774"
"iPhone 14 Pro Max","4323","6","128","2022","38","62","60511"
"iPhone XS Max","3174","4","64","2018","86","98","16653"
"iPhone 14 Plus","4325","6","128","2022","37","79","58960"
"iPhone 12","2815","4","64","2020","61","95","32784"
"iPhone 14 Plus","4325","6","128","2022","37","53","39404"
"iPhone 6","1810","1","16","2014","134","78","3182"
"iPhone 13 Pro Max","4352","6","128","2021","50","62","41117"
"iPhone 13","3227","4","128","2021","50","74","35855"
"iPhone 5c","1507","1","8","2013","146","73","2521"
"iPhone 16 Pro Max","4685","8","256","2024","14","86","128265"
"iPhone 7","1960","2","32","2016","110","82","3685"
"iPhone 14 Plus","4325","6","128","2022","37","60","45430"
"iPhone 16 Pro","3582","8","128","2024","14","72","85189"
"iPhone 15 Pro Max","4422","8","256","2023","26","89","103838"
"iPhone 13 mini","2438","4","128","2021","50","99","42383"
"iPhone XS Max","3174","4","64","2018","86","76","5832"
"iPhone X","2716","3","64","2017","96","99","17344"
"iPhone X","2716","3","64","2017","96","84","5943"
"iPhone 12 Pro","2815","6","128","2020","61","93","52523"
"iPhone 12 Pro","2815","6","128","2020","61","59","24361"
"iPhone XS","2658","4","64","2018","86","96","11293"
"iPhone XR","2942","3","64","2018","86","62","3186"
"iPhone 13","3227","4","128","2021","50","61","26171"
"iPhone 6 Plus","2915","1","16","2014","134","68","3484"
"iPhone 16 Pro","3582","8","128","2024","14","96","103127"
"iPhone 11 Pro Max","3969","4","64","2019","74","59","18529"
"iPhone 16","3561","8","128","2024","14","63","55706"
"iPhone 6s Plus","2750","2","16","2015","122","51","2800"
"iPhone SE (1st gen)","1624","2","16","2016","116","67","1740"
"iPhone 13 mini","2438","4","128","2021","50","83","37952"
"iPhone 14","3279","6","128","2022","38","94","69780"
"iPhone X","2716","3","64","2017","96","60","6565"
"iPhone XS Max","3174","4","64","2018","86","97","18141"
"iPhone 11 Pro Max","3969","4","64","2019","74","90","51478"
"iPhone 7","1960","2","32","2016","110","93","4141"
"iPhone 6s","1715","2","16","2015","122","90","3888"
"iPhone 13","3227","4","128","2021","50","88","48709"
"iPhone 14 Pro","3200","6","128","2022","38","59","50927"
"iPhone 15","3349","6","128","2023","26","74","62241"
"iPhone 5s","1560","1","16","2013","146","61","2692"
"iPhone XR","2942","3","64","2018","86","66","8940"
"iPhone 13 mini","2438","4","128","2021","50","63","25481"
"iPhone 15 Pro","3343","8","128","2023","26","68","70978"
"iPhone 14","3279","6","128","2022","38","73","50397"
"iPhone 11 Pro","3046","4","64","2019","74","70","30496"
"iPhone 12 Pro Max","3687","6","128","2020","60","96","56544"
"iPhone 6s","1715","2","16","2015","122","90","3884"
"iPhone 5s","1560","1","16","2013","146","78","3251"
"iPhone 11 Pro","3046","4","64","2019","74","60","30523"
"iPhone 15 Pro Max","4422","8","256","2023","26","96","118790"
"iPhone 13 Pro","3095","6","128","2021","50","98","58298"
"iPhone 15 Plus","4395","6","128","2023","26","100","87430"
"iPhone XR","2942","3","64","2018","86","74","4616"
"iPhone 14 Pro","3200","6","128","2022","38","67","50066"
"iPhone 13 Pro Max","4352","6","128","2021","50","61","43697"
"iPhone 16 Plus","4674","8","128","2024","14","94","96235"
"iPhone 12 Pro Max","3687","6","128","2020","60","67","35865"
"iPhone 15 Pro Max","4422","8","256","2023","26","65","73472"
"iPhone 7","1960","2","32","2016","110","58","2758"
"iPhone 16 Pro Max","4685","8","256","2024","14","96","134984"
"iPhone 13 Pro","3095","6","128","2021","50","54","35391"
"iPhone 14 Plus","4325","6","128","2022","37","82","68365"
"iPhone 8 Plus","2691","3","64","2017","98","52","2748"
"iPhone 6 Plus","2915","1","16","2014","134","96","4699"
"iPhone 15 Pro","3343","8","128","2023","26","54","48938"
"iPhone 13 Pro Max","4352","6","128","2021","50","70","61414"
"iPhone 6 Plus","2915","1","16","2014","134","70","3952"
"iPhone 12 mini","2227","4","64","2020","60","72","28982"
"iPhone 12 mini","2227","4","64","2020","60","80","26714"
"iPhone 5","1440","1","16","2012","158","100","4492"
"iPhone XS Max","3174","4","64","2018","86","77","5984"
"iPhone 16 Plus","4674","8","128","2024","14","52","55904"
"iPhone 12 Pro Max","3687","6","128","2020","60","85","58932"
"iPhone 8 Plus","2691","3","64","2017","98","71","3712"
"iPhone 13","3227","4","128","2021","50","96","48664"
"iPhone 5s","1560","1","16","2013","146","62","2937"
"iPhone 11 Pro Max","3969","4","64","2019","74","84","26025"
"iPhone 15","3349","6","128","2023","26","71","60369"
"iPhone 6s Plus","2750","2","16","2015","122","76","3776"
"iPhone XR","2942","3","64","2018","86","76","20907"
"iPhone 14 Pro","3200","6","128","2022","38","70","55119"
"iPhone 5","1440","1","16","2012","158","63","2930"
"iPhone 14 Pro","3200","6","128","2022","38","75","57171"
"iPhone 14 Plus","4325","6","128","2022","37","57","40603"
"iPhone 5c","1507","1","8","2013","146","81","3037"
"iPhone 8","1821","2","64","2017","98","54","2517"
"iPhone 12 Pro Max","3687","6","128","2020","60","59","29437"
"iPhone 14 Plus","4325","6","128","2022","37","85","65726"
"iPhone 6s Plus","2750","2","16","2015","122","70","3226"
"iPhone 13","3227","4","128","2021","50","89","50733"
"iPhone 6s","1715","2","16","2015","122","51","2260"
"iPhone 6 Plus","2915","1","16","2014","134","61","3445"
"iPhone 8","1821","2","64","2017","98","87","4135"
"iPhone 12","2815","4","64","2020","61","79","37508"
"iPhone 14","3279","6","128","2022","38","56","36044"
"iPhone 13 Pro","3095","6","128","2021","50","83","56290"
"iPhone 11 Pro","3046","4","64","2019","74","83","39114"
"iPhone 12 mini","2227","4","64","2020","60","89","26530"
"iPhone 16 Plus","4674","8","128","2024","14","59","70074"
"iPhone 13","3227","4","128","2021","50","84","44135"
"iPhone 12","2815","4","64","2020","61","99","48794"
"iPhone 16 Pro","3582","8","128","2024","14","73","84553"
"iPhone 5","1440","1","16","2012","158","62","2698"
"iPhone 14","3279","6","128","2022","38","88","64782"
"iPhone 11 Pro Max","3969","4","64","2019","74","61","19300"
"iPhone 16 Pro Max","4685","8","256","2024","14","100","129172"
"iPhone 12","2815","4","64","2020","61","83","38582"
"iPhone 11 Pro Max","3969","4","64","2019","74","88","25350"
"iPhone XR","2942","3","64","2018","86","77","7368"
"iPhone XS","2658","4","64","2018","86","81","20616"
"iPhone 5","1440","1","16","2012","158","54","2202"
"iPhone 7 Plus","2900","3","32","2016","110","97","4952"
"iPhone XR","2942","3","64","2018","86","62","4446"
"iPhone X","2716","3","64","2017","96","63","9551"
"iPhone 14 Plus","4325","6","128","2022","37","99","68665"
"iPhone 13 mini","2438","4","128","2021","50","70","33023"
"iPhone 14","3279","6","128","2022","38","88","53841"
"iPhone 13","3227","4","128","2021","50","72","31319"
"iPhone 15 Pro Max","4422","8","256","2023","26","58","73623"
"iPhone 14 Pro","3200","6","128","2022","38","65","53796"
"iPhone 14 Pro Max","4323","6","128","2022","38","60","68224"
"iPhone 13 mini","2438","4","128","2021","50","75","34424"
"iPhone 13 mini","2438","4","128","2021","50","70","25397"
"iPhone 5s","1560","1","16","2013","146","100","4032"
"iPhone 14","3279","6","128","2022","38","98","63539"
"iPhone 15","3349","6","128","2023","26","82","67594"
"iPhone 14","3279","6","128","2022","38","87","66075"
"iPhone 5c","1507","1","8","2013","146","85","3232"
"iPhone 7 Plus","2900","3","32","2016","110","63","3535"
"iPhone 5","1440","1","16","2012","158","56","2335"
"iPhone 16 Pro","3582","8","128","2024","14","99","115332"
"iPhone 8","1821","2","64","2017","98","92","7773"
"iPhone 13","3227","4","128","2021","50","80","43690"
"iPhone 6s","1715","2","16","2015","122","56","2621"
"iPhone 11 Pro","3046","4","64","2019","74","88","34755"
"iPhone 8","1821","2","64","2017","98","91","13658"
"iPhone 15 Pro","3343","8","128","2023","26","71","67214"
"iPhone 8 Plus","2691","3","64","2017","98","86","12002"
"iPhone 14 Plus","4325","6","128","2022","37","79","65118"
"iPhone X","2716","3","64","2017","96","63","6341"
"iPhone 6s Plus","2750","2","16","2015","122","94","4544"
"iPhone 11 Pro","3046","4","64","2019","74","54","22503"
"iPhone 6s Plus","2750","2","16","2015","122","51","2601"
"iPhone 5s","1560","1","16","2013","146","55","2492"
"iPhone 11 Pro","3046","4","64","2019","74","97","39255"
"iPhone 13 mini","2438","4","128","2021","50","85","40417"
"iPhone 13 mini","2438","4","128","2021","50","84","44283"
"iPhone 12 Pro","2815","6","128","2020","61","91","36348"
"iPhone 7","1960","2","32","2016","110","52","2353"
"iPhone XS Max","3174","4","64","2018","86","69","9817"
"iPhone 13 Pro Max","4352","6","128","2021","50","83","60597"
"iPhone 12","2815","4","64","2020","61","51","27823"
"iPhone 12","2815","4","64","2020","61","84","36522"
"iPhone 6s","1715","2","16","2015","122","68","3139"
"iPhone 6s Plus","2750","2","16","2015","122","87","4115"
"iPhone 15 Pro","3343","8","128","2023","26","94","88625"
"iPhone 15","3349","6","128","2023","26","90","70526"
"iPhone 14 Pro","3200","6","128","2022","38","59","54720"
"iPhone XS Max","3174","4","64","2018","86","63","4676"
"iPhone 6s Plus","2750","2","16","2015","122","72","4038"
"iPhone 13","3227","4","128","2021","50","89","50635"
"iPhone SE (1st gen)","1624","2","16","2016","116","84","2387"
"iPhone 12 Pro","2815","6","128","2020","61","94","45911"
"iPhone 12 Pro","2815","6","128","2020","61","69","32528"
"iPhone 16","3561","8","128","2024","14","99","89966"
"iPhone 11 Pro Max","3969","4","64","2019","74","55","16870"
"iPhone SE (1st gen)","1624","2","16","2016","116","79","2029"
"iPhone 5","1440","1","16","2012","158","66","2898"
"iPhone 14","3279","6","128","2022","38","66","44691"
"iPhone 15 Pro","3343","8","128","2023","26","84","82319"
"iPhone 14 Pro","3200","6","128","2022","38","66","57653"
"iPhone 14 Pro","3200","6","128","2022","38","58","47847"
"iPhone 5s","1560","1","16","2013","146","80","3280"
"iPhone 16 Plus","4674","8","128","2024","14","74","84058"
"iPhone 13","3227","4","128","2021","50","53","34684"
"iPhone XS","2658","4","64","2018","86","85","5268"
"iPhone 15","3349","6","128","2023","26","87","70535"
"iPhone 8","1821","2","64","2017","98","100","7233"
"iPhone 12 Pro Max","3687","6","128","2020","60","88","49982"
"iPhone X","2716","3","64","2017","96","86","19275"
"iPhone 16 Pro","3582","8","128","2024","14","94","99170"
"iPhone 8","1821","2","64","2017","98","79","4007"
"iPhone XR","2942","3","64","2018","86","61","4312"
"iPhone 16 Plus","4674","8","128","2024","14","56","58057"
"iPhone 14","3279","6","128","2022","38","84","58740"
"iPhone 14 Pro Max","4323","6","128","2022","38","59","48562"
"iPhone 16 Pro","3582","8","128","2024","14","72","77187"
"iPhone SE (1st gen)","1624","2","16","2016","116","62","1822"
"iPhone 13","3227","4","128","2021","50","89","45298"
"iPhone 14 Pro","3200","6","128","2022","38","94","86449"
"iPhone 13 mini","2438","4","128","2021","50","51","26825"
"iPhone 15 Plus","4395","6","128","2023","26","62","53110"
"iPhone 6s Plus","2750","2","16","2015","122","90","4562"
"iPhone 14","3279","6","128","2022","38","65","45418"
"iPhone 15 Pro Max","4422","8","256","2023","26","60","79593"
"iPhone 15 Pro Max","4422","8","256","2023","26","90","120930"
"iPhone 15 Pro Max","4422","8","256","2023","26","86","117155"
"iPhone SE (1st gen)","1624","2","16","2016","116","59","1650"
"iPhone 12","2815","4","64","2020","61","57","25213"
"iPhone 16","3561","8","128","2024","14","63","58604"
"iPhone 12 mini","2227","4","64","2020","60","69","29318"
"iPhone 5","1440","1","16","2012","158","63","2818"
"iPhone 11 Pro Max","3969","4","64","2019","74","83","30967"
"iPhone 15 Pro","3343","8","128","2023","26","96","101247"
"iPhone 6s Plus","2750","2","16","2015","122","84","3833"
"iPhone XR","2942","3","64","2018","86","98","22092"
"iPhone 7","1960","2","32","2016","110","87","3680"
"iPhone 8","1821","2","64","2017","98","70","6347"
"iPhone 7 Plus","2900","3","32","2016","110","77","4177"
"iPhone X","2716","3","64","2017","96","86","5937"
"iPhone 8","1821","2","64","2017","98","71","3248"
"iPhone 5c","1507","1","8","2013","146","99","3622"
"iPhone 16","3561","8","128","2024","14","71","70997"
"iPhone 11 Pro","3046","4","64","2019","74","58","24037"
"iPhone XS","2658","4","64","2018","86","69","4293"
"iPhone 12 mini","2227","4","64","2020","60","80","37018"
"iPhone 16 Plus","4674","8","128","2024","14","94","105450"
"iPhone 8","1821","2","64","2017","98","66","8501"
"iPhone 15 Pro Max","4422","8","256","2023","26","78","101215"
"iPhone 11","3110","4","64","2019","74","51","15772"
"iPhone 13","3227","4","128","2021","50","79","36936"
"iPhone 13 mini","2438","4","128","2021","50","86","39761"
"iPhone 8 Plus","2691","3","64","2017","98","72","3754"
"iPhone 14","3279","6","128","2022","38","76","46300"
"iPhone 6s","1715","2","16","2015","122","98","4020"
"iPhone 6s","1715","2","16","2015","122","54","2361"
"iPhone 6s","1715","2","16","2015","122","88","4148"
"iPhone 14","3279","6","128","2022","38","84","64255"
"iPhone 15 Pro Max","4422","8","256","2023","26","85","107742"
"iPhone 5","1440","1","16","2012","158","86","3748"
"iPhone 15 Pro","3343","8","128","2023","26","85","77479"
"iPhone 15 Pro","3343","8","128","2023","26","96","89222"
"iPhone 12 Pro Max","3687","6","128","2020","60","98","60749"
"iPhone SE (1st gen)","1624","2","16","2016","116","67","1976"
"iPhone SE (1st gen)","1624","2","16","2016","116","65","1625"
"iPhone 16 Plus","4674","8","128","2024","14","70","81271"
"iPhone 15 Plus","4395","6","128","2023","26","92","81130"
"iPhone 15","3349","6","128","2023","26","53","39561"
"iPhone 6s Plus","2750","2","16","2015","122","51","2637"
"iPhone 6s Plus","2750","2","16","2015","122","72","3787"
"iPhone 13 Pro Max","4352","6","128","2021","50","57","48465"
"iPhone XS","2658","4","64","2018","86","74","18910"
"iPhone 15 Pro Max","4422","8","256","2023","26","91","112374"
"iPhone 8","1821","2","64","2017","98","57","10850"
"iPhone X","2716","3","64","2017","96","56","11584"
"iPhone 12 Pro","2815","6","128","2020","61","95","56482"
"iPhone 11 Pro","3046","4","64","2019","74","56","20618"
"iPhone 7","1960","2","32","2016","110","67","3040"
"iPhone 13","3227","4","128","2021","50","57","27699"
"iPhone 12 Pro Max","3687","6","128","2020","60","75","54285"
"iPhone 12 Pro","2815","6","128","2020","61","72","48496"
"iPhone 11 Pro Max","3969","4","64","2019","74","75","35145"
"iPhone 15 Plus","4395","6","128","2023","26","60","53243"
"iPhone XS Max","3174","4","64","2018","86","84","19214"
"iPhone 6s Plus","2750","2","16","2015","122","86","4729"
"iPhone 16 Pro","3582","8","128","2024","14","82","92890"
"iPhone 11 Pro","3046","4","64","2019","74","100","40500"
"iPhone 6s","1715","2","16","2015","122","94","4236"
"iPhone XS","2658","4","64","2018","86","62","21838"
"iPhone 6","1810","1","16","2014","134","66","2768"
"iPhone 13 Pro Max","4352","6","128","2021","50","63","49959"
"iPhone 12","2815","4","64","2020","61","61","19084"
"iPhone 8 Plus","2691","3","64","2017","98","63","4762"
"iPhone 5","1440","1","16","2012","158","85","3777"
"iPhone 13 mini","2438","4","128","2021","50","88","39075"
"iPhone 11 Pro","3046","4","64","2019","74","61","12693"
"iPhone 16 Pro Max","4685","8","256","2024","14","56","80290"
"iPhone X","2716","3","64","2017","96","60","14709"
"iPhone 12 Pro","2815","6","128","2020","61","66","30223"
"iPhone 7 Plus","2900","3","32","2016","110","53","2561"
"iPhone 16","3561","8","128","2024","14","99","101040"
"iPhone 14","3279","6","128","2022","38","54","32888"
"iPhone 5c","1507","1","8","2013","146","59","2074"
"iPhone 16 Plus","4674","8","128","2024","14","53","63276"
"iPhone 15","3349","6","128","2023","26","85","63675"
"iPhone 15 Plus","4395","6","128","2023","26","70","63580"
"iPhone 8 Plus","2691","3","64","2017","98","51","2561"
"iPhone 15 Plus","4395","6","128","2023","26","73","65768"
"iPhone XS","2658","4","64","2018","86","65","20645"
"iPhone 15 Pro Max","4422","8","256","2023","26","62","79267"
"iPhone 7","1960","2","32","2016","110","64","2806"
"iPhone XR","2942","3","64","2018","86","77","13953"
"iPhone 13 mini","2438","4","128","2021","50","67","27984"
"iPhone 7","1960","2","32","2016","110","71","2954"
"iPhone 5","1440","1","16","2012","158","92","3741"
"iPhone 5c","1507","1","8","2013","146","77","3191"
"iPhone 6s Plus","2750","2","16","2015","122","87","4349"
"iPhone 16 Pro Max","4685","8","256","2024","14","78","111135"
"iPhone 16 Pro","3582","8","128","2024","14","82","99739"
"iPhone 14","3279","6","128","2022","38","69","49998"
"iPhone 8 Plus","2691","3","64","2017","98","91","5153"
"iPhone 8 Plus","2691","3","64","2017","98","83","10599"
"iPhone 13 Pro","3095","6","128","2021","50","85","61929"
"iPhone 14 Pro","3200","6","128","2022","38","96","92892"
"iPhone 5","1440","1","16","2012","158","81","3715"
"iPhone 5s","1560","1","16","2013","146","57","2782"
"iPhone 16 Pro Max","4685","8","256","2024","14","51","69027"
"iPhone 12 Pro","2815","6","128","2020","61","93","58585"
"iPhone 14 Plus","4325","6","128","2022","37","91","66647"
"iPhone 15 Pro Max","4422","8","256","2023","26","85","114951"
"iPhone 6s Plus","2750","2","16","2015","122","78","3751"
"iPhone 5","1440","1","16","2012","158","96","3816"
"iPhone 11 Pro Max","3969","4","64","2019","74","62","29525"
"iPhone SE (1st gen)","1624","2","16","2016","116","75","2313"
"iPhone 11 Pro Max","3969","4","64","2019","74","68","39312"
"iPhone 6s","1715","2","16","2015","122","95","4299"
"iPhone 16 Pro Max","4685","8","256","2024","14","60","83776"
"iPhone 11 Pro Max","3969","4","64","2019","74","68","15759"
"iPhone 11","3110","4","64","2019","74","91","29829"
"iPhone 7 Plus","2900","3","32","2016","110","89","4480"
"iPhone 14 Pro Max","4323","6","128","2022","38","91","85594"
"iPhone 7 Plus","2900","3","32","2016","110","55","2981"
"iPhone 12","2815","4","64","2020","61","75","24464"
"iPhone 12 Pro","2815","6","128","2020","61","57","24453"
"iPhone 16","3561","8","128","2024","14","75","74550"
"iPhone 13","3227","4","128","2021","50","55","31527"
"iPhone XS","2658","4","64","2018","86","86","34659"
"iPhone 5c","1507","1","8","2013","146","69","2403"
"iPhone 12 Pro Max","3687","6","128","2020","60","68","34628"
"iPhone 14 Pro","3200","6","128","2022","38","58","48728"
"iPhone XS Max","3174","4","64","2018","86","61","5748"
"iPhone 7 Plus","2900","3","32","2016","110","69","3384"
"iPhone 6s Plus","2750","2","16","2015","122","84","4322"
"iPhone 5c","1507","1","8","2013","146","58","1916"
"iPhone 13 Pro Max","4352","6","128","2021","50","58","40081"
"iPhone 12 mini","2227","4","64","2020","60","74","30429"
"iPhone 5","1440","1","16","2012","158","65","2555"
"iPhone 8 Plus","2691","3","64","2017","98","76","4023"
"iPhone 14 Pro","3200","6","128","2022","38","78","62687"
"iPhone XS","2658","4","64","2018","86","72","4723"
"iPhone 7","1960","2","32","2016","110","88","4778"
"iPhone 16","3561","8","128","2024","14","81","71356"
"iPhone 13 Pro","3095","6","128","2021","50","92","55656"
"iPhone X","2716","3","64","2017","96","64","7324"
"iPhone 12 Pro","2815","6","128","2020","61","52","24457"
"iPhone 16 Pro Max","4685","8","256","2024","14","51","72440"
"iPhone 5s","1560","1","16","2013","146","62","2449"
"iPhone 14 Pro Max","4323","6","128","2022","38","53","40235"
"iPhone 12 Pro Max","3687","6","128","2020","60","88","53949"
"iPhone 13 Pro","3095","6","128","2021","50","87","54384"
"iPhone 13 Pro Max","4352","6","128","2021","50","95","74744"
"iPhone 5c","1507","1","8","2013","146","80","3125"
"iPhone 11 Pro Max","3969","4","64","2019","74","59","33215"
"iPhone XS","2658","4","64","2018","86","95","13330"
"iPhone 8","1821","2","64","2017","98","100","4875"
"iPhone 15 Pro","3343","8","128","2023","26","97","90775"
"iPhone 13 mini","2438","4","128","2021","50","82","48771"
"iPhone 13","3227","4","128","2021","50","62","37155"
"iPhone 16 Plus","4674","8","128","2024","14","82","80212"
"iPhone 12 mini","2227","4","64","2020","60","78","25086"
"iPhone 6s Plus","2750","2","16","2015","122","73","3359"
"iPhone 16 Plus","4674","8","128","2024","14","69","73521"
"iPhone 11","3110","4","64","2019","74","100","19426"
"iPhone 7","1960","2","32","2016","110","97","4451"
"iPhone 11 Pro Max","3969","4","64","2019","74","70","16232"
"iPhone 13 mini","2438","4","128","2021","50","76","36519"
"iPhone 13 Pro Max","4352","6","128","2021","50","76","49910"
"iPhone 6","1810","1","16","2014","134","88","3481"
"iPhone 6s Plus","2750","2","16","2015","122","65","2979"
"iPhone 13","3227","4","128","2021","50","94","54765"
"iPhone 15 Pro Max","4422","8","256","2023","26","95","125553"
"iPhone 13 Pro","3095","6","128","2021","50","89","60284"
"iPhone 16 Pro Max","4685","8","256","2024","14","75","103988"
"iPhone 5s","1560","1","16","2013","146","78","3452"
"iPhone 16 Plus","4674","8","128","2024","14","52","59720"
"iPhone 13 mini","2438","4","128","2021","50","90","47304"
"iPhone 5c","1507","1","8","2013","146","98","3839"
"iPhone 6s","1715","2","16","2015","122","58","2634"
"iPhone 14 Plus","4325","6","128","2022","37","94","67936"
"iPhone 6","1810","1","16","2014","134","55","2646"
"iPhone 8","1821","2","64","2017","98","60","3035"
"iPhone 8","1821","2","64","2017","98","99","4744"
"iPhone 5","1440","1","16","2012","158","78","3759"
"iPhone 16 Pro","3582","8","128","2024","14","81","97543"
"iPhone 12","2815","4","64","2020","61","51","17522"
"iPhone 12","2815","4","64","2020","61","56","26386"
"iPhone 5","1440","1","16","2012","158","100","4750"
"iPhone 16 Pro","3582","8","128","2024","14","55","60445"
"iPhone 15 Pro Max","4422","8","256","2023","26","89","107803"
"iPhone X","2716","3","64","2017","96","99","27997"
"iPhone 5c","1507","1","8","2013","146","66","2261"
"iPhone 15","3349","6","128","2023","26","83","65778"
"iPhone 15 Pro Max","4422","8","256","2023","26","72","99612"
"iPhone 14 Pro","3200","6","128","2022","38","72","57918"
"iPhone 13","3227","4","128","2021","50","65","34503"
"iPhone 6s Plus","2750","2","16","2015","122","100","5438"
"iPhone 13 Pro Max","4352","6","128","2021","50","56","41353"
"iPhone 14 Plus","4325","6","128","2022","37","76","61827"
"iPhone XR","2942","3","64","2018","86","62","10388"
"iPhone 14 Pro Max","4323","6","128","2022","38","98","83957"
"iPhone 13 Pro","3095","6","128","2021","50","51","35981"
"iPhone 11","3110","4","64","2019","74","66","10714"
"iPhone 5","1440","1","16","2012","158","95","3966"
"iPhone 13 mini","2438","4","128","2021","50","92","39567"
"iPhone 8","1821","2","64","2017","98","98","11117"
"iPhone X","2716","3","64","2017","96","81","21485"
"iPhone 14","3279","6","128","2022","38","57","33347"
"iPhone 12","2815","4","64","2020","61","76","40915"
"iPhone 15 Plus","4395","6","128","2023","26","56","54400"
"iPhone 11","3110","4","64","2019","74","92","24154"
"iPhone 5c","1507","1","8","2013","146","72","2544"
"iPhone 15 Pro Max","4422","8","256","2023","26","96","117665"
"iPhone 7","1960","2","32","2016","110","100","4266"
"iPhone XS","2658","4","64","2018","86","65","19894"
"iPhone 13","3227","4","128","2021","50","89","56869"
"iPhone 5c","1507","1","8","2013","146","82","3098"
"iPhone 16 Pro Max","4685","8","256","2024","14","57","73462"
"iPhone 6 Plus","2915","1","16","2014","134","75","3722"
"iPhone 15","3349","6","128","2023","26","90","73883"
"iPhone XR","2942","3","64","2018","86","85","17697"
"iPhone 8","1821","2","64","2017","98","59","6801"
"iPhone 16 Pro Max","4685","8","256","2024","14","93","123908"
"iPhone 16 Pro Max","4685","8","256","2024","14","78","111235"
"iPhone X","2716","3","64","2017","96","81","5768"
"iPhone XR","2942","3","64","2018","86","94","19780"
"iPhone XS","2658","4","64","2018","86","55","18077"
"iPhone X","2716","3","64","2017","96","98","6382"
"iPhone 15","3349","6","128","2023","26","72","55861"
"iPhone X","2716","3","64","2017","96","85","13111"
"iPhone 16 Pro","3582","8","128","2024","14","90","103792"
"iPhone 15","3349","6","128","2023","26","72","55193"
"iPhone 12","2815","4","64","2020","61","82","36830"
"iPhone 13 mini","2438","4","128","2021","50","95","50970"
"iPhone 15 Plus","4395","6","128","2023","26","63","59478"
"iPhone 15 Pro","3343","8","128","2023","26","68","65715"
